task,layer,position,mean_auroc,std_auroc,n_seeds,n_train,n_test
C,40,final,1.0,0.0,3,480,80
C,41,entity,1.0,0.0,3,480,80
C,41,final,1.0,0.0,3,480,80
C,42,entity,1.0,0.0,3,480,80
C,42,final,1.0,0.0,3,480,80
C,43,entity,1.0,0.0,3,480,80
C,43,final,1.0,0.0,3,480,80
C,44,entity,1.0,0.0,3,480,80
C,44,final,1.0,0.0,3,480,80
C,45,entity,1.0,0.0,3,480,80
C,45,final,1.0,0.0,3,480,80
C,46,entity,1.0,0.0,3,480,80
C,46,final,1.0,0.0,3,480,80
C,47,entity,1.0,0.0,3,480,80
C,47,final,1.0,0.0,3,480,80
C,48,entity,1.0,0.0,3,480,80
C,48,final,1.0,0.0,3,480,80
C,49,entity,1.0,0.0,3,480,80
C,49,final,1.0,0.0,3,480,80
C,50,entity,1.0,0.0,3,480,80
C,50,final,1.0,0.0,3,480,80
C,51,entity,1.0,0.0,3,480,80
C,51,final,1.0,0.0,3,480,80
C,52,entity,1.0,0.0,3,480,80
C,52,final,1.0,0.0,3,480,80
C,53,entity,1.0,0.0,3,480,80
C,53,final,1.0,0.0,3,480,80
C,54,entity,1.0,0.0,3,480,80
C,54,final,1.0,0.0,3,480,80
C,55,entity,1.0,0.0,3,480,80
C,55,final,1.0,0.0,3,480,80
C,56,entity,1.0,0.0,3,480,80
C,56,final,1.0,0.0,3,480,80
C,57,entity,1.0,0.0,3,480,80
C,57,final,1.0,0.0,3,480,80
C,58,entity,1.0,0.0,3,480,80
C,58,final,1.0,0.0,3,480,80
C,59,entity,1.0,0.0,3,480,80
C,59,final,1.0,0.0,3,480,80
C,60,entity,1.0,0.0,3,480,80
C,60,final,1.0,0.0,3,480,80
C,61,entity,1.0,0.0,3,480,80
C,61,final,1.0,0.0,3,480,80
C,62,entity,1.0,0.0,3,480,80
C,62,final,1.0,0.0,3,480,80
C,63,entity,1.0,0.0,3,480,80
C,63,final,1.0,0.0,3,480,80
C,64,entity,1.0,0.0,3,480,80
C,64,final,1.0,0.0,3,480,80
C,65,entity,1.0,0.0,3,480,80
C,65,final,1.0,0.0,3,480,80
C,66,entity,1.0,0.0,3,480,80
C,66,final,1.0,0.0,3,480,80
C,67,entity,1.0,0.0,3,480,80
C,67,final,1.0,0.0,3,480,80
C,68,entity,1.0,0.0,3,480,80
C,68,final,1.0,0.0,3,480,80
C,69,entity,1.0,0.0,3,480,80
C,69,final,1.0,0.0,3,480,80
C,70,entity,1.0,0.0,3,480,80
C,70,final,1.0,0.0,3,480,80
C,71,entity,1.0,0.0,3,480,80
C,71,final,1.0,0.0,3,480,80
C,72,entity,1.0,0.0,3,480,80
C,72,final,1.0,0.0,3,480,80
C,73,entity,1.0,0.0,3,480,80
C,73,final,1.0,0.0,3,480,80
C,74,entity,1.0,0.0,3,480,80
C,74,final,1.0,0.0,3,480,80
C,75,entity,1.0,0.0,3,480,80
C,75,final,1.0,0.0,3,480,80
C,76,entity,1.0,0.0,3,480,80
C,76,final,1.0,0.0,3,480,80
C,77,entity,1.0,0.0,3,480,80
C,77,final,1.0,0.0,3,480,80
C,78,entity,1.0,0.0,3,480,80
C,78,final,1.0,0.0,3,480,80
C,79,entity,1.0,0.0,3,480,80
C,79,final,1.0,0.0,3,480,80
